,Subject_area_code,Subject_area_abbrev,Subject_area_name
189,1101,AGRI,Agricultural and Biological Sciences (miscellaneous)
190,2910,NURS,"Issues, Ethics and Legal Aspects"
191,3306,SOCI,Health (social science)
192,3315,SOCI,Communication
193,3316,SOCI,Cultural Studies
194,2303,ENVI,Ecology
195,1207,ARTS,History and Philosophy of Science
196,2100,ENER,Energy (all)
197,2603,MATH,Analysis
198,2606,MATH,Control and Optimization
199,3300,SOCI,Social Sciences (all)
200,2216,ENGI,Architecture
201,3322,SOCI,Urban Studies
202,2713,MEDI,Epidemiology
203,2203,ENGI,Automotive Engineering
204,2214,ENGI,Media Technology
205,2913,NURS,Maternity and Midwifery
206,2902,NURS,Advanced and Specialized Nursing
207,1000,MULT,Multidisciplinary
208,3204,PSYC,Developmental and Educational Psychology
209,1213,ARTS,Visual Arts and Performing Arts
210,1212,ARTS,Religious Studies
211,1208,ARTS,Literature and Literary Theory
212,1913,EART,Stratigraphy
213,1911,EART,Paleontology
214,2722,MEDI,Histology
215,2600,MATH,Mathematics (all)
216,1402,BUSI,Accounting
217,2916,NURS,Nutrition and Dietetics
218,3320,SOCI,Political Science and International Relations
219,1108,AGRI,Horticulture
220,1202,ARTS,History
221,1701,COMP,Computer Science (miscellaneous)
222,2903,NURS,Assessment and Diagnosis
223,1405,BUSI,Management of Technology and Innovation
224,1211,ARTS,Philosophy
225,1400,BUSI,"Business, Management and Accounting (all)"
226,1200,ARTS,Arts and Humanities (all)
227,2911,NURS,Leadership and Management
228,3001,PHAR,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)"
229,3207,PSYC,Social Psychology
230,3202,PSYC,Applied Psychology
231,2729,MEDI,Obstetrics and Gynecology
232,3308,SOCI,Law
233,2731,MEDI,Ophthalmology
234,2614,MATH,Theoretical Computer Science
235,2717,MEDI,Geriatrics and Gerontology
236,3611,HEAL,Pharmacy
237,1601,CHEM,Chemistry (miscellaneous)
238,3321,SOCI,Public Administration
239,1111,AGRI,Soil Science
240,2718,MEDI,Health Informatics
241,2503,MATE,Ceramics and Composites
242,1409,BUSI,"Tourism, Leisure and Hospitality Management"
243,3612,HEAL,"Physical Therapy, Sports Therapy and Rehabilitation"
244,2742,MEDI,Rehabilitation
245,2905,NURS,Community and Home Care
246,2003,ECON,Finance
247,2805,NEUR,Cognitive Neuroscience
248,3317,SOCI,Demography
249,2809,NEUR,Sensory Systems
250,2802,NEUR,Behavioral Neuroscience
251,2704,MEDI,Biochemistry (medical)
252,1204,ARTS,Archeology (arts and humanities)
253,2702,MEDI,Anatomy
254,3206,PSYC,Neuropsychology and Physiological Psychology
255,3501,DENT,Dentistry (miscellaneous)
256,2202,ENGI,Aerospace Engineering
257,2212,ENGI,Ocean Engineering
258,3607,HEAL,Medical Laboratory Technology
259,2745,MEDI,Rheumatology
260,2206,ENGI,Computational Mechanics
261,2306,ENVI,Global and Planetary Change
262,3302,SOCI,Archeology
263,3108,PHYS,Radiation
264,1902,EART,Atmospheric Science
265,1801,DECI,Decision Sciences (miscellaneous)
266,2609,MATH,Logic
267,3601,HEAL,Health Professions (miscellaneous)
268,1904,EART,Earth-Surface Processes
269,2610,MATH,Mathematical Physics
270,2501,MATE,Materials Science (miscellaneous)
271,1901,EART,Earth and Planetary Sciences (miscellaneous)
272,3602,HEAL,Chiropractics
273,2747,MEDI,Transplantation
274,2909,NURS,Gerontology
275,2908,NURS,Fundamentals and Skills
276,2807,NEUR,Endocrine and Autonomic Systems
277,2806,NEUR,Developmental Neuroscience
278,3401,VETE,Veterinary (miscellaneous)
279,3307,SOCI,Human Factors and Ergonomics
280,2401,IMMU,Immunology and Microbiology (miscellaneous)
281,2309,ENVI,Nature and Landscape Conservation
282,2914,NURS,Medical and Surgical Nursing
283,2001,ECON,"Economics, Econometrics and Finance (miscellaneous)"
284,3319,SOCI,Life-span and Life-course Studies
285,2302,ENVI,Ecological Modeling
286,1804,DECI,"Statistics, Probability and Uncertainty"
287,2301,ENVI,Environmental Science (miscellaneous)
288,1201,ARTS,Arts and Humanities (miscellaneous)
289,1800,DECI,Decision Sciences (all)
290,1903,EART,Computers in Earth Sciences
291,3109,PHYS,Statistical and Nonlinear Physics
292,1302,BIOC,Aging
293,1206,ARTS,Conservation
294,3600,HEAL,Health Professions (all)
295,3605,HEAL,Health Information Management
296,3309,SOCI,Library and Information Sciences
297,3603,HEAL,Complementary and Manual Therapy
298,2921,NURS,Psychiatric Mental Health
299,2917,NURS,Oncology (nursing)
300,2743,MEDI,Reproductive Medicine
301,2601,MATH,Mathematics (miscellaneous)
302,3503,DENT,Dental Hygiene
303,3201,PSYC,Psychology (miscellaneous)
304,2919,NURS,Pediatrics
305,1905,EART,Economic Geology
306,3102,PHYS,Acoustics and Ultrasonics
307,2801,NEUR,Neuroscience (miscellaneous)
308,1209,ARTS,Museology
309,2922,NURS,Research and Theory
310,3616,HEAL,Speech and Hearing
311,1410,BUSI,Industrial Relations
312,2904,NURS,Care Planning
313,3502,DENT,Dental Assisting
314,3613,HEAL,Podiatry
315,2906,NURS,Critical Care Nursing
316,2907,NURS,Emergency Nursing
317,3610,HEAL,Optometry
318,3609,HEAL,Occupational Therapy
319,3318,SOCI,Gender Studies
320,2714,MEDI,Family Practice
