Affiliation,Country,count,latitude,longitude
Universit? degli studi di Bari Aldo Moro,Italy,522,41.10948815,16.88168782
University of Cyprus,Cyprus,522,35.14340315,33.41405138
University of Notre Dame,United States,522,41.70456775,-86.23822026
Wayne State University,United States,522,42.35720515,-83.07094979
Beihang University,China,521,39.9809427,116.3409787
National Central University,Taiwan,521,24.96841805,121.191397
Northeastern University,United States,521,42.33895455,-71.08805803
Universidad de Oviedo,Spain,521,43.35352695,-5.875012964
Universidade do Estado do Rio de Janeiro,Brazil,521,-22.2868125,-42.54203799
Lawrence Livermore National Laboratory,United States,520,37.687781,-121.7083093
Lomonosov Moscow State University,Russian Federation,520,55.701189,37.527634
LUT University,Finland,520,61.0652026,28.0950747
Paul Scherrer Institut,Switzerland,520,47.53589545,8.222217993
Saha Institute of Nuclear Physics,India,520,22.6010399,88.41890249
Baylor University,United States,519,31.55043405,-97.11029056
Bhabha Atomic Research Centre,India,519,19.02063055,72.92757178
Centro Brasileiro de Pesquisas F?sicas,Brazil,519,-22.95406685,-43.17400226
Debreceni Egyetem,Hungary,519,47.55596425,21.62116988
Fermi National Accelerator Laboratory,United States,519,41.8422582,-88.24578205
Florida Institute of Technology,United States,519,28.064271,-80.62300403
Indian Institute of Technology Madras,India,519,12.99415605,80.23668255
Institut fur Hochenergiephysik,Austria,519,48.18745965,16.36253904
Institut Ru?er Bo?kovi?,Croatia,519,45.8296219,15.98795084
?stanbul Teknik ?niversitesi,Turkey,519,41.10504645,29.02631139
Rutherford Appleton Laboratory,United Kingdom,519,51.570862,-1.315497974
Universidad Iberoamericana,Mexico,519,25.44523685,-101.0045303
"Academy of Scientific Research &amp; Technology, Cairo",Egypt,518,26.2540493,29.2675469
Atommagkutat? Int?zet,Hungary,518,47.5437403,21.62390578
"Centro de Investigaciones Energ?ticas, Medioambientales y Tecnol?gicas",Spain,518,39.3260685,-4.8379791
"Faculty of Electrical Engineering, Mechanical Engineering and Naval Architecture, University of Split",Croatia,518,45.3658443,15.6575209
Helsinki Institute of Physics,Finland,518,63.2467777,25.9209164
Indian Institute of Science Education and Research Pune,India,518,18.5456168,73.80720497
Iranian Research Institute for Fundamental Sciences,Iran,518,32.6475314,54.5643516
