,paperID,Cited
623,201800623,5
624,201800624,2
625,201800625,14
626,201800626,5
627,201800627,20
628,201800628,10
629,201800629,4
630,201800630,12
631,201800631,0
632,201800632,7
633,201800633,13
634,201800634,0
635,201800635,1
636,201800636,4
637,201800637,2
638,201800638,107
639,201800639,17
640,201800640,4
641,201800641,2
642,201800642,13
643,201800643,2
644,201800644,29
645,201800645,27
646,201800646,0
647,201800647,0
648,201800648,1
649,201800649,0
650,201800650,0
651,201800651,13
652,201800652,20
653,201800653,0
654,201800654,23
655,201800655,6
656,201800656,0
657,201800657,10
658,201800658,0
659,201800659,1
660,201800660,1
661,201800661,5
662,201800662,12
663,201800663,0
664,201800664,3
665,201800665,4
666,201800666,26
667,201800667,0
668,201800668,0
669,201800669,1
670,201800670,4
671,201800671,4
672,201800672,0
673,201800673,0
674,201800674,2
675,201800675,3
676,201800676,5
677,201800677,4
678,201800678,0
679,201800679,0
680,201800680,2
681,201800681,7
682,201800682,1
683,201800683,3
684,201800684,3
685,201800685,5
686,201800686,20
687,201800687,30
688,201800688,44
689,201800689,49
690,201800690,0
691,201800691,5
692,201800692,7
693,201800693,26
694,201800694,10
695,201800695,32
696,201800696,23
697,201800697,9
698,201800698,33
699,201800699,32
700,201800700,7
701,201800701,16
702,201800702,52
703,201800703,138
704,201800704,0
705,201800705,32
706,201800706,29
707,201800707,18
708,201800708,55
709,201800709,1
710,201800710,10
711,201800711,8
712,201800712,3
713,201800713,18
714,201800714,89
715,201800715,4
716,201800716,10
717,201800717,3
718,201800718,15
719,201800719,9
720,201800720,31
721,201800721,8
722,201800722,0
723,201800723,61
724,201800724,11
725,201800725,17
726,201800726,4
727,201800727,12
728,201800728,27
729,201800729,11
730,201800730,3
731,201800731,15
732,201800732,34
733,201800733,7
734,201800734,9
735,201800735,3
736,201800736,24
737,201800737,5
738,201800738,19
739,201800739,11
740,201800740,67
741,201800741,9
742,201800742,37
743,201800743,12
744,201800744,11
745,201800745,11
746,201800746,13
747,201800747,14
748,201800748,3
749,201800749,2
750,201800750,15
751,201800751,11
752,201800752,3
753,201800753,23
754,201800754,12
755,201800755,8
756,201800756,8
757,201800757,3
758,201800758,9
759,201800759,15
760,201800760,12
761,201800761,85
762,201800762,3
763,201800763,8
764,201800764,7
765,201800765,7
766,201800766,6
767,201800767,14
768,201800768,10
769,201800769,13
770,201800770,13
771,201800771,6
772,201800772,9
773,201800773,21
774,201800774,35
775,201800775,14
776,201800776,46
777,201800777,0
778,201800778,6
779,201800779,0
780,201800780,17
781,201800781,11
782,201800782,20
783,201800783,27
784,201800784,2
785,201800785,8
786,201800786,0
787,201800787,7
788,201800788,4
789,201800789,8
790,201800790,2
791,201800791,1
792,201800792,3
793,201800793,32
794,201800794,38
795,201800795,3
796,201800796,2
797,201800797,87
798,201800798,5
799,201800799,2
800,201800800,13
801,201800801,2
802,201800802,2
803,201800803,4
804,201800804,5
805,201800805,16
806,201800806,68
807,201800807,58
808,201800808,4
809,201800809,7
810,201800810,44
811,201800811,17
812,201800812,26
813,201800813,26
814,201800814,2
815,201800815,3
816,201800816,0
817,201800817,14
818,201800818,1
819,201800819,9
820,201800820,7
821,201800821,1
822,201800822,6
823,201800823,2
824,201800824,0
825,201800825,2
826,201800826,4
827,201800827,22
828,201800828,10
829,201800829,14
830,201800830,7
831,201800831,0
832,201800832,1
833,201800833,36
834,201800834,22
835,201800835,0
836,201800836,1
837,201800837,0
838,201800838,0
839,201800839,79
840,201800840,20
841,201800841,32
842,201800842,22
843,201800843,2
844,201800844,3
845,201800845,6
846,201800846,2
847,201800847,12
848,201800848,0
849,201800849,31
850,201800850,17
851,201800851,23
852,201800852,1
853,201800853,6
854,201800854,0
855,201800855,1
856,201800856,5
857,201800857,8
858,201800858,20
859,201800859,4
860,201800860,75
861,201800861,93
862,201800862,16
863,201800863,19
864,201800864,6
865,201800865,1
866,201800866,3
867,201800867,1
868,201800868,160
869,201800869,45
870,201800870,56
871,201800871,0
872,201800872,2
873,201800873,1
874,201800874,0
875,201800875,0
876,201800876,1
877,201800877,4
878,201800878,2
879,201800879,8
880,201800880,79
881,201800881,56
882,201800882,59
883,201800883,15
884,201800884,24
885,201800885,13
886,201800886,8
887,201800887,57
888,201800888,19
889,201800889,10
890,201800890,38
891,201800891,14
892,201800892,8
893,201800893,31
894,201800894,12
895,201800895,5
896,201800896,18
897,201800897,23
898,201800898,20
899,201800899,32
900,201800900,25
901,201800901,5
902,201800902,35
903,201800903,31
904,201800904,43
905,201800905,8
906,201800906,44
907,201800907,43
908,201800908,1
909,201800909,40
910,201800910,7
911,201800911,11
912,201800912,29
913,201800913,45
914,201800914,10
915,201800915,17
916,201800916,10
917,201800917,12
918,201800918,22
919,201800919,2
920,201800920,29
921,201800921,84
922,201800922,36
923,201800923,36
924,201800924,52
925,201800925,6
926,201800926,14
927,201800927,1
928,201800928,40
929,201800929,33
930,201800930,29
931,201800931,7
932,201800932,11
933,201800933,18
934,201800934,25
935,201800935,36
936,201800936,38
937,201800937,6
938,201800938,10
939,201800939,57
940,201800940,5
941,201800941,9
942,201800942,18
943,201800943,17
944,201800944,9
945,201800945,0
946,201800946,12
947,201800947,6
948,201800948,23
949,201800949,19
950,201800950,2
951,201800951,2
952,201800952,3
953,201800953,3
954,201800954,10
955,201800955,5
956,201800956,2
957,201800957,0
958,201800958,14
959,201800959,14
960,201800960,165
961,201800961,51
962,201800962,1
963,201800963,0
964,201800964,2
965,201800965,0
966,201800966,0
967,201800967,0
968,201800968,1
969,201800969,0
970,201800970,1
971,201800971,0
972,201800972,7
973,201800973,4
974,201800974,19
975,201800975,91
976,201800976,4
977,201800977,51
978,201800978,168
979,201800979,1
980,201800980,9
981,201800981,4
982,201800982,17
983,201800983,8
984,201800984,2
985,201800985,10
986,201800986,35
987,201800987,13
988,201800988,49
989,201800989,49
990,201800990,2
991,201800991,6
992,201800992,150
993,201800993,109
994,201800994,3
995,201800995,11
996,201800996,26
997,201800997,140
998,201800998,17
999,201800999,21
1000,201801000,56
1001,201801001,4
1002,201801002,2
1003,201801003,8
1004,201801004,19
1005,201801005,1
1006,201801006,2
1007,201801007,1
1008,201801008,0
1009,201801009,3
1010,201801010,14
1011,201801011,3
1012,201801012,39
1013,201801013,7
1014,201801014,0
1015,201801015,11
1016,201801016,2
1017,201801017,2
1018,201801018,1
1019,201801019,2
1020,201801020,2
1021,201801021,1
1022,201801022,0
1023,201801023,1
1024,201801024,5
1025,201801025,1
1026,201801026,1
1027,201801027,2
1028,201801028,20
1029,201801029,2
1030,201801030,3
1031,201801031,1
1032,201801032,0
1033,201801033,4
1034,201801034,0
1035,201801035,1
1036,201801036,12
1037,201801037,1
1038,201801038,26
1039,201801039,19
1040,201801040,2
1041,201801041,1
1042,201801042,0
1043,201801043,6
1044,201801044,5
1045,201801045,1
1046,201801046,1
1047,201801047,1
1048,201801048,56
1049,201801049,40
1050,201801050,74
1051,201801051,27
1052,201801052,32
1053,201801053,58
1054,201801054,30
1055,201801055,21
1056,201801056,4
1057,201801057,5
1058,201801058,6
1059,201801059,6
1060,201801060,34
1061,201801061,0
1062,201801062,2
1063,201801063,38
1064,201801064,17
1065,201801065,58
1066,201801066,0
1067,201801067,15
1068,201801068,0
1069,201801069,5
1070,201801070,11
1071,201801071,57
1072,201801072,27
1073,201801073,42
1074,201801074,8
1075,201801075,5
1076,201801076,18
1077,201801077,79
1078,201801078,16
1079,201801079,21
1080,201801080,18
1081,201801081,9
1082,201801082,213
1083,201801083,0
1084,201801084,4
1085,201801085,3
1086,201801086,0
1087,201801087,29
1088,201801088,0
1089,201801089,53
1090,201801090,8
1091,201801091,71
1092,201801092,28
1093,201801093,69
1094,201801094,38
1095,201801095,229
1096,201801096,23
1097,201801097,6
1098,201801098,0
1099,201801099,42
1100,201801100,10
1101,201801101,13
1102,201801102,3
1103,201801103,36
1104,201801104,37
1105,201801105,19
1106,201801106,9
1107,201801107,4
1108,201801108,4
1109,201801109,5
1110,201801110,14
1111,201801111,23
1112,201801112,9
1113,201801113,23
1114,201801114,16
1115,201801115,571
1116,201801116,9
1117,201801117,63
1118,201801118,2
1119,201801119,2
1120,201801120,159
1121,201801121,26
1122,201801122,29
1123,201801123,2
1124,201801124,9
1125,201801125,22
1126,201801126,20
1127,201801127,7
1128,201801128,29
1129,201801129,29
1130,201801130,5
1131,201801131,20
1132,201801132,7
1133,201801133,17
1134,201801134,5
1135,201801135,11
1136,201801136,7
1137,201801137,8
1138,201801138,16
1139,201801139,31
1140,201801140,22
1141,201801141,1
1142,201801142,5
1143,201801143,7
1144,201801144,106
1145,201801145,0
1146,201801146,25
1147,201801147,1
1148,201801148,7
1149,201801149,30
1150,201801150,3
1151,201801151,8
1152,201801152,40
1153,201801153,8
1154,201801154,9
1155,201801155,2
1156,201801156,0
1157,201801157,10
1158,201801158,0
1159,201801159,12
1160,201801160,2
1161,201801161,35
1162,201801162,148
1163,201801163,0
1164,201801164,1
1165,201801165,5
1166,201801166,332
1167,201801167,24
1168,201801168,10
1169,201801169,3
1170,201801170,322
1171,201801171,7
1172,201801172,76
1173,201801173,2
1174,201801174,74
1175,201801175,0
1176,201801176,7
1177,201801177,1
1178,201801178,2
1179,201801179,3
1180,201801180,34
1181,201801181,33
1182,201801182,14
1183,201801183,32
1184,201801184,150
1185,201801185,93
1186,201801186,105
1187,201801187,34
1188,201801188,6
1189,201801189,3
1190,201801190,26
1191,201801191,24
1192,201801192,164
1193,201801193,69
1194,201801194,10
1195,201801195,59
1196,201801196,89
1197,201801197,0
1198,201801198,8
1199,201801199,0
1200,201801200,6
1201,201801201,32
1202,201801202,2
1203,201801203,2
1204,201801204,272
1205,201801205,14
1206,201801206,1
1207,201801207,130
1208,201801208,3
1209,201801209,0
1210,201801210,14
1211,201801211,8
1212,201801212,25
1213,201801213,1
1214,201801214,45
1215,201801215,0
1216,201801216,0
1217,201801217,0
1218,201801218,0
1219,201801219,0
1220,201801220,1
1221,201801221,2
1222,201801222,0
1223,201801223,2
1224,201801224,6
1225,201801225,24
1226,201801226,1
1227,201801227,4
1228,201801228,16
1229,201801229,2
1230,201801230,6
1231,201801231,2
1232,201801232,38
1233,201801233,84
1234,201801234,0
1235,201801235,1
1236,201801236,22
1237,201801237,0
1238,201801238,2
1239,201801239,0
1240,201801240,14
1241,201801241,2
1242,201801242,25
1243,201801243,4
1244,201801244,100
1245,201801245,59
1246,201801246,27
1247,201801247,41
1248,201801248,5
1249,201801249,36
1250,201801250,19
1251,201801251,5
1252,201801252,17
1253,201801253,28
1254,201801254,37
1255,201801255,27
1256,201801256,10
1257,201801257,10
1258,201801258,49
1259,201801259,14
1260,201801260,9
1261,201801261,2
1262,201801262,12
1263,201801263,6
1264,201801264,1
1265,201801265,4
1266,201801266,3
1267,201801267,40
1268,201801268,77
1269,201801269,0
1270,201801270,1
1271,201801271,39
1272,201801272,8
1273,201801273,20
1274,201801274,22
1275,201801275,4
1276,201801276,15
1277,201801277,6
1278,201801278,40
1279,201801279,36
1280,201801280,15
1281,201801281,16
1282,201801282,2
1283,201801283,26
1284,201801284,5
1285,201801285,54
1286,201801286,44
1287,201801287,3
1288,201801288,0
1289,201801289,6
1290,201801290,14
1291,201801291,54
1292,201801292,8
1293,201801293,5
1294,201801294,57
1295,201801295,3
1296,201801296,2
1297,201801297,9
1298,201801298,9
1299,201801299,32
1300,201801300,12
1301,201801301,15
1302,201801302,5
1303,201801303,0
1304,201801304,15
1305,201801305,11
1306,201801306,38
1307,201801307,36
1308,201801308,4
1309,201801309,11
1310,201801310,2
1311,201801311,1
1312,201801312,42
1313,201801313,1
1314,201801314,22
1315,201801315,28
1316,201801316,11
1317,201801317,0
1318,201801318,3
1319,201801319,70
1320,201801320,1
1321,201801321,25
1322,201801322,12
1323,201801323,51
1324,201801324,19
1325,201801325,40
1326,201801326,45
1327,201801327,58
1328,201801328,44
1329,201801329,84
1330,201801330,10
1331,201801331,9
1332,201801332,20
1333,201801333,60
1334,201801334,2
1335,201801335,14
1336,201801336,38
1337,201801337,267
1338,201801338,5
1339,201801339,14
1340,201801340,13
1341,201801341,19
1342,201801342,14
1343,201801343,10
1344,201801344,26
1345,201801345,23
1346,201801346,42
1347,201801347,3
1348,201801348,25
1349,201801349,13
1350,201801350,3
1351,201801351,32
1352,201801352,6
1353,201801353,3
1354,201801354,0
1355,201801355,189
1356,201801356,8
1357,201801357,19
1358,201801358,30
1359,201801359,49
1360,201801360,31
1361,201801361,16
1362,201801362,41
1363,201801363,2
1364,201801364,0
1365,201801365,98
1366,201801366,29
1367,201801367,48
1368,201801368,40
1369,201801369,65
1370,201801370,7
1371,201801371,104
1372,201801372,15
1373,201801373,0
1374,201801374,45
1375,201801375,15
1376,201801376,41
1377,201801377,140
1378,201801378,28
1379,201801379,37
1380,201801380,7
1381,201801381,44
1382,201801382,21
1383,201801383,18
1384,201801384,9
1385,201801385,0
1386,201801386,2
1387,201801387,4
1388,201801388,7
1389,201801389,4
1390,201801390,84
1391,201801391,99
1392,201801392,38
1393,201801393,13
1394,201801394,29
1395,201801395,53
1396,201801396,22
1397,201801397,2
1398,201801398,2
1399,201801399,2
1400,201801400,3
1401,201801401,3
1402,201801402,443
1403,201801403,2
1404,201801404,37
1405,201801405,21
1406,201801406,5
1407,201801407,0
1408,201801408,15
1409,201801409,15
1410,201801410,18
1411,201801411,20
1412,201801412,12
1413,201801413,38
1414,201801414,15
1415,201801415,0
1416,201801416,9
1417,201801417,0
1418,201801418,4
1419,201801419,3
1420,201801420,21
1421,201801421,0
1422,201801422,3
1423,201801423,7
1424,201801424,12
1425,201801425,6
1426,201801426,2
1427,201801427,3
1428,201801428,28
1429,201801429,3
1430,201801430,2
1431,201801431,2
1432,201801432,3
1433,201801433,88
1434,201801434,157
1435,201801435,7
1436,201801436,17
1437,201801437,51
1438,201801438,0
1439,201801439,3
1440,201801440,36
1441,201801441,58
1442,201801442,3
1443,201801443,70
1444,201801444,35
1445,201801445,26
1446,201801446,13
1447,201801447,38
1448,201801448,2
1449,201801449,9
1450,201801450,17
1451,201801451,4
1452,201801452,29
1453,201801453,8
1454,201801454,7
1455,201801455,38
1456,201801456,35
1457,201801457,4
1458,201801458,4
1459,201801459,14
1460,201801460,7
1461,201801461,5
1462,201801462,35
1463,201801463,57
1464,201801464,19
1465,201801465,54
1466,201801466,16
1467,201801467,37
1468,201801468,11
1469,201801469,9
1470,201801470,45
1471,201801471,12
1472,201801472,28
1473,201801473,16
1474,201801474,7
1475,201801475,61
1476,201801476,12
1477,201801477,75
1478,201801478,45
1479,201801479,40
1480,201801480,11
1481,201801481,44
1482,201801482,3
1483,201801483,34
1484,201801484,5
1485,201801485,5
1486,201801486,26
1487,201801487,22
1488,201801488,21
1489,201801489,11
1490,201801490,67
1491,201801491,40
1492,201801492,10
1493,201801493,13
1494,201801494,19
1495,201801495,32
1496,201801496,14
1497,201801497,44
1498,201801498,10
1499,201801499,2
1500,201801500,160
1501,201801501,12
1502,201801502,14
1503,201801503,34
1504,201801504,32
1505,201801505,24
1506,201801506,64
1507,201801507,18
1508,201801508,346
1509,201801509,19
1510,201801510,15
1511,201801511,16
1512,201801512,5
1513,201801513,14
1514,201801514,14
1515,201801515,3
1516,201801516,1
1517,201801517,1
1518,201801518,5
1519,201801519,4
1520,201801520,15
1521,201801521,13
1522,201801522,26
1523,201801523,2
1524,201801524,83
1525,201801525,21
1526,201801526,12
1527,201801527,7
1528,201801528,10
1529,201801529,44
1530,201801530,14
1531,201801531,8
1532,201801532,100
1533,201801533,5
1534,201801534,3
1535,201801535,3
1536,201801536,0
1537,201801537,7
1538,201801538,37
1539,201801539,2
1540,201801540,17
1541,201801541,32
1542,201801542,19
1543,201801543,23
1544,201801544,2
1545,201801545,79
1546,201801546,191
1547,201801547,153
1548,201801548,9
1549,201801549,4
1550,201801550,16
1551,201801551,3
1552,201801552,0
1553,201801553,45
1554,201801554,197
1555,201801555,74
1556,201801556,3
1557,201801557,20
1558,201801558,21
1559,201801559,22
1560,201801560,48
1561,201801561,19
1562,201801562,4
1563,201801563,28
1564,201801564,17
1565,201801565,110
1566,201801566,1
1567,201801567,2
1568,201801568,40
1569,201801569,43
1570,201801570,73
1571,201801571,16
1572,201801572,9
1573,201801573,10
1574,201801574,8
1575,201801575,1
1576,201801576,9
1577,201801577,59
1578,201801578,117
1579,201801579,1
1580,201801580,771
1581,201801581,4
1582,201801582,0
1583,201801583,23
1584,201801584,4
1585,201801585,1
1586,201801586,0
1587,201801587,0
1588,201801588,0
1589,201801589,0
1590,201801590,0
1591,201801591,13
1592,201801592,2
1593,201801593,2
1594,201801594,0
1595,201801595,6
1596,201801596,25
1597,201801597,26
1598,201801598,8
1599,201801599,4
1600,201801600,0
1601,201801601,0
1602,201801602,49
1603,201801603,2
1604,201801604,4
1605,201801605,57
1606,201801606,16
1607,201801607,21
1608,201801608,8
1609,201801609,60
1610,201801610,38
1611,201801611,29
1612,201801612,18
1613,201801613,35
1614,201801614,8
1615,201801615,16
1616,201801616,5
1617,201801617,20
1618,201801618,131
1619,201801619,8
1620,201801620,15
1621,201801621,2
1622,201801622,41
1623,201801623,14
1624,201801624,18
1625,201801625,5
1626,201801626,12
1627,201801627,2
1628,201801628,0
1629,201801629,1
1630,201801630,12
1631,201801631,21
1632,201801632,63
1633,201801633,43
1634,201801634,29
1635,201801635,31
1636,201801636,0
1637,201801637,53
1638,201801638,3
1639,201801639,14
1640,201801640,24
1641,201801641,16
1642,201801642,7
1643,201801643,8
1644,201801644,12
1645,201801645,18
1646,201801646,22
1647,201801647,15
1648,201801648,2
1649,201801649,8
1650,201801650,5
1651,201801651,3
1652,201801652,5
1653,201801653,5
1654,201801654,12
1655,201801655,8
1656,201801656,26
1657,201801657,22
1658,201801658,11
1659,201801659,20
1660,201801660,13
1661,201801661,61
1662,201801662,16
