target,Country,count
Novosibirsk State University,Russian Federation,490
National Institute of Science Education and Research,India,490
Institute for Nuclear Problems of Belarusian State University,Belarus,490
Tsinghua University,China,490
IN2P3 - Institut National de Physique Nucléaire et de Physique Des Particules,France,488
National Research Nuclear University MEPhI,Russian Federation,487
Institut fiziki vysokikh energii,Russian Federation,486
"Istituto Nazionale di Fisica Nucleare, Sezione di Padova",Italy,484
Riga Technical University,Latvia,470
Alikhanov Institute for Theoretical and Experimental Physics,Russian Federation,454
University of Mississippi,United States,452
University of Ruhuna,Sri Lanka,451
Karlsruher Institut für Technologie,Germany,449
"Università degli Studi del Piemonte Orientale ""Amedeo Avogadro""",Italy,447
Istituto Nazionale di Fisica Nucleare - INFN,Italy,447
"Istituto Nazionale di Fisica Nucleare, Sezione di Napoli",Italy,445
"Istituto Nazionale di Fisica Nucleare, Sezione di Milano-Bicocca",Italy,444
"Istituto Nazionale di Fisica Nucleare, Sezione di Pisa",Italy,443
Scuola Normale Superiore di Pisa,Italy,442
Politecnico di Bari,Italy,442
"Istituto Nazionale di Fisica Nucleare, Sezione di Bologna",Italy,441
"Istituto Nazionale di Fisica Nucleare, Sezione di Genova",Italy,441
"Istituto Nazionale di Fisica Nucleare, Sezione di Catania",Italy,440
"Istituto Nazionale di Fisica Nucleare, Sezione di Pavia",Italy,440
"Istituto Nazionale di Fisica Nucleare, Sezione di Perugia",Italy,440
Università degli Studi della Basilicata,Italy,440
"Istituto Nazionale di Fisica Nucleare, Sezione di Trieste",Italy,440
"Istituto Nazionale di Fisica Nucleare, Sezione di Firenze",Italy,439
"Istituto Nazionale di Fisica Nucleare, Sezione di Bari",Italy,439
"Istituto Nazionale di Fisica Nucleare, Sezione di Torino",Italy,437
Université de Strasbourg,France,425
Tomsk Polytechnic University,Russian Federation,423
Universidad Autónoma de San Luis Potosí,Mexico,422
Ivane Javakhishvili Tbilisi State University,Georgia,418
Università G. Marconi,Italy,417
Université Claude Bernard Lyon 1,France,412
Sejong University,South Korea,409
Universidade Federal do ABC,Brazil,404
Siriraj Hospital,Thailand,401
Khon Kaen University,Thailand,397
Escuela Politécnica Nacional,Ecuador,397
Florida International University,United States,390
University of Southampton,United Kingdom,387
Universidade Estadual de Campinas,Brazil,385
Universidad de Sonora,Mexico,380
Isfahan University of Technology,Iran,379
University of Belgrade,Serbia,375
Università degli Studi di Siena,Italy,373
Metallurgy and Materials Research Institute Chulalongkorn University,Thailand,371
Peking University,China,370
Prince of Songkla University,Thailand,369
Universite de Haute Alsace,France,363
Marmara Üniversitesi,Turkey,363
Brandenburgische Technische Universität Cottbus,Germany,362
Kafkas Üniversitesi,Turkey,361
Visva-Bharati University,India,361
Technische Universität Wien,Austria,360
Consejo Nacional de Ciencia y Tecnologia Mexico,Mexico,359
Monash University,Australia,359
Indian Institute of Technology Bhubaneswar,India,358
Texas A&amp;M University at Qatar,Qatar,358
Istanbul Bilgi Üniversitesi,Turkey,356
Bingöl Üniversitesi,Turkey,354
Sinop Üniversitesi,Turkey,354
Chulalongkorn Business School,Thailand,353
Adiyaman Üniversitesi,Turkey,352
Stefan-Meyer-Institut für Subatomare Physik,Austria,349
Budker Institute of Nuclear Physics of the Siberian Branch of the RAS,Russian Federation,349
Peter the Great St. Petersburg Polytechnic University,Russian Federation,348
Pîrî Reis Üniversitesi,Turkey,347
Thailand National Center for Genetic Engineering and Biotechnology,Thailand,344
Kyung Hee University,South Korea,340
Izmir Yüksek Teknoloji Enstitüsü,Turkey,333
Università di Trento,Italy,330
Srinakharinwirot University,Thailand,328
Istanbul Üniversitesi,Turkey,324
Universidade Federal do Rio Grande do Sul,Brazil,317
Institute of Physics Bhubaneswar,India,311
Ramathibodi Hospital,Thailand,309
Shoolini University,India,300
Bethel University,United States,295
