Id,Author_amount,Domestic_org_amount,International_org_amount,Ref_amount,Date_sort,Subject_area_code,Cited,Subject_area_name,Subject_area_abbrev
201801822,9,5,0,31,2018-03-01,1600,25,Chemistry (all),CHEM
201801822,9,5,0,31,2018-03-01,1313,25,Molecular Medicine,BIOC
201801822,9,5,0,31,2018-03-01,1312,25,Molecular Biology,BIOC
201801823,2,1,2,31,2018-03-01,1105,31,"Ecology, Evolution, Behavior and Systematics",AGRI
201801824,4,2,0,37,2018-03-01,1500,4,Chemical Engineering (all),CENG
201801824,4,2,0,37,2018-03-01,2507,4,Polymers and Plastics,MATE
201801824,4,2,0,37,2018-03-01,2209,4,Industrial and Manufacturing Engineering,ENGI
201801824,4,2,0,37,2018-03-01,2505,4,Materials Chemistry,MATE
201801825,3,3,1,10,2018-03-01,2724,5,Internal Medicine,MEDI
201801825,3,3,1,10,2018-03-01,2712,5,"Endocrinology, Diabetes and Metabolism",MEDI
201801825,3,3,1,10,2018-03-01,2721,5,Hepatology,MEDI
201801825,3,3,1,10,2018-03-01,1310,5,Endocrinology,BIOC
201801826,5,3,0,19,2018-03-01,1503,8,Catalysis,CENG
201801826,5,3,0,19,2018-03-01,1600,8,Chemistry (all),CHEM
201801827,1,1,0,19,2018-03-01,2733,26,Otorhinolaryngology,MEDI
201801827,1,1,0,19,2018-03-01,3500,26,Dentistry (all),DENT
201801828,4,2,1,35,2018-03-01,2405,6,Parasitology,IMMU
201801828,4,2,1,35,2018-03-01,2404,6,Microbiology,IMMU
201801828,4,2,1,35,2018-03-01,2403,6,Immunology,IMMU
201801828,4,2,1,35,2018-03-01,2725,6,Infectious Diseases,MEDI
201801829,6,6,0,64,2018-03-01,2105,42,"Renewable Energy, Sustainability and the Environment",ENER
201801830,13,2,0,27,2018-03-01,3404,6,Small Animals,VETE
201801830,13,2,0,27,2018-03-01,3403,6,Food Animals,VETE
201801830,13,2,0,27,2018-03-01,1103,6,Animal Science and Zoology,AGRI
201801830,13,2,0,27,2018-03-01,3402,6,Equine,VETE
201801831,4,1,2,54,2018-03-01,2901,5,Nursing (miscellaneous),NURS
201801832,2,1,1,37,2018-03-01,3305,9,"Geography, Planning and Development",SOCI
201801832,2,1,1,37,2018-03-01,3303,9,Development,SOCI
201801833,6,5,1,43,2018-03-01,1305,10,Biotechnology,BIOC
201801833,6,5,1,43,2018-03-01,2402,10,Applied Microbiology and Biotechnology,IMMU
201801834,5,3,0,30,2018-03-01,2739,7,"Public Health, Environmental and Occupational Health",MEDI
201801835,4,1,0,40,2018-03-01,1313,26,Molecular Medicine,BIOC
201801836,3,2,0,45,2018-03-01,2208,12,Electrical and Electronic Engineering,ENGI
201801837,9,1,0,59,2018-03-01,3004,25,Pharmacology,PHAR
201801837,9,1,0,59,2018-03-01,2406,25,Virology,IMMU
201801838,2,1,0,40,2018-03-01,2305,146,Environmental Engineering,ENVI
201801838,2,1,0,40,2018-03-01,2105,146,"Renewable Energy, Sustainability and the Environment",ENER
201801838,2,1,0,40,2018-03-01,2312,146,Water Science and Technology,ENVI
201801838,2,1,0,40,2018-03-01,2311,146,Waste Management and Disposal,ENVI
201801838,2,1,0,40,2018-03-01,2310,146,Pollution,ENVI
201801839,4,1,0,34,2018-03-01,1103,21,Animal Science and Zoology,AGRI
201801839,4,1,0,34,2018-03-01,3400,21,Veterinary (all),VETE
201801840,5,1,1,36,2018-03-01,1314,19,Physiology,BIOC
201801840,5,1,1,36,2018-03-01,1311,19,Genetics,BIOC
201801840,5,1,1,36,2018-03-01,1110,19,Plant Science,AGRI
201801841,3,1,0,29,2018-03-01,3505,8,Orthodontics,DENT
201801842,7,2,1,27,2018-03-01,2404,16,Microbiology,IMMU
201801842,7,2,1,27,2018-03-01,3400,16,Veterinary (all),VETE
201801843,3,2,0,26,2018-03-01,2726,23,Microbiology (medical),MEDI
201801843,3,2,0,26,2018-03-01,2725,23,Infectious Diseases,MEDI
201801844,4,2,2,19,2018-03-01,2730,9,Oncology,MEDI
201801844,4,2,2,19,2018-03-01,2715,9,Gastroenterology,MEDI
201801845,5,1,2,95,2018-03-01,1607,35,Spectroscopy,CHEM
201801845,5,1,2,95,2018-03-01,1606,35,Physical and Theoretical Chemistry,CHEM
201801845,5,1,2,95,2018-03-01,1704,35,Computer Graphics and Computer-Aided Design,COMP
201801845,5,1,2,95,2018-03-01,2505,35,Materials Chemistry,MATE
201801846,3,1,1,41,2018-03-01,2507,131,Polymers and Plastics,MATE
201801847,8,1,0,26,2018-03-01,2404,21,Microbiology,IMMU
201801847,8,1,0,26,2018-03-01,3400,21,Veterinary (all),VETE
201801848,2,1,0,38,2018-03-01,3500,3,Dentistry (all),DENT
201801849,3,1,1,45,2018-03-01,1102,8,Agronomy and Crop Science,AGRI
201801849,3,1,1,45,2018-03-01,1311,8,Genetics,BIOC
201801849,3,1,1,45,2018-03-01,1110,8,Plant Science,AGRI
201801850,15,1,9,29,2018-03-01,2721,57,Hepatology,MEDI
201801850,15,1,9,29,2018-03-01,2715,57,Gastroenterology,MEDI
201801850,15,1,9,29,2018-03-01,2736,57,Pharmacology (medical),MEDI
201801851,3,2,0,27,2018-03-01,2304,25,Environmental Chemistry,ENVI
201801851,3,2,0,27,2018-03-01,2310,25,Pollution,ENVI
201801851,3,2,0,27,2018-03-01,2307,25,"Health, Toxicology and Mutagenesis",ENVI
201801852,8,3,0,50,2018-03-01,3003,25,Pharmaceutical Science,PHAR
201801853,12,3,2,29,2018-03-01,2405,6,Parasitology,IMMU
201801853,12,3,2,29,2018-03-01,2739,6,"Public Health, Environmental and Occupational Health",MEDI
201801853,12,3,2,29,2018-03-01,2725,6,Infectious Diseases,MEDI
201801854,4,1,1,53,2018-03-01,3105,45,Instrumentation,PHYS
201801854,4,1,1,53,2018-03-01,3104,45,Condensed Matter Physics,PHYS
201801854,4,1,1,53,2018-03-01,2508,45,"Surfaces, Coatings and Films",MATE
201801855,9,1,1,34,2018-03-01,2720,17,Hematology,MEDI
201801855,9,1,1,34,2018-03-01,2716,17,Genetics (clinical),MEDI
201801856,3,2,0,51,2018-03-01,2738,4,Psychiatry and Mental Health,MEDI
201801856,3,2,0,51,2018-03-01,2803,4,Biological Psychiatry,NEUR
201801857,2,1,0,41,2018-03-01,1404,36,Management Information Systems,BUSI
201801857,2,1,0,41,2018-03-01,1712,36,Software,COMP
201801857,2,1,0,41,2018-03-01,1802,36,Information Systems and Management,DECI
201801857,2,1,0,41,2018-03-01,1702,36,Artificial Intelligence,COMP
201801858,5,1,0,35,2018-03-01,1602,12,Analytical Chemistry,CHEM
201801858,5,1,0,35,2018-03-01,1106,12,Food Science,AGRI
201801858,5,1,0,35,2018-03-01,1304,12,Biophysics,BIOC
201801858,5,1,0,35,2018-03-01,1502,12,Bioengineering,CENG
201801858,5,1,0,35,2018-03-01,2402,12,Applied Microbiology and Biotechnology,IMMU
201801859,6,1,4,49,2018-03-01,2738,35,Psychiatry and Mental Health,MEDI
201801859,6,1,4,49,2018-03-01,2803,35,Biological Psychiatry,NEUR
201801860,2,1,1,0,2018-03-01,2403,0,Immunology,IMMU
201801860,2,1,1,0,2018-03-01,1309,0,Developmental Biology,BIOC
201801861,4,2,0,53,2018-03-01,1303,13,Biochemistry,BIOC
201801861,4,2,0,53,2018-03-01,2500,13,Materials Science (all),MATE
201801861,4,2,0,53,2018-03-01,1606,13,Physical and Theoretical Chemistry,CHEM
201801861,4,2,0,53,2018-03-01,1506,13,Filtration and Separation,CENG
201801862,6,1,1,34,2018-03-01,2103,15,Fuel Technology,ENER
201801862,6,1,1,34,2018-03-01,2102,15,Energy Engineering and Power Technology,ENER
201801862,6,1,1,34,2018-03-01,2101,15,Energy (miscellaneous),ENER
201801862,6,1,1,34,2018-03-01,1603,15,Electrochemistry,CHEM
201801863,4,2,0,60,2018-03-01,3404,19,Small Animals,VETE
201801863,4,2,0,60,2018-03-01,3403,19,Food Animals,VETE
201801863,4,2,0,60,2018-03-01,1103,19,Animal Science and Zoology,AGRI
201801863,4,2,0,60,2018-03-01,3402,19,Equine,VETE
201801864,2,1,0,18,2018-03-01,2602,0,Algebra and Number Theory,MATH
201801864,2,1,0,18,2018-03-01,2612,0,Numerical Analysis,MATH
201801864,2,1,0,18,2018-03-01,2608,0,Geometry and Topology,MATH
201801864,2,1,0,18,2018-03-01,2607,0,Discrete Mathematics and Combinatorics,MATH
201801865,4,1,3,54,2018-03-01,1303,34,Biochemistry,BIOC
201801865,4,1,3,54,2018-03-01,1313,34,Molecular Medicine,BIOC
201801865,4,1,3,54,2018-03-01,1604,34,Inorganic Chemistry,CHEM
201801866,3,1,1,37,2018-03-01,2500,9,Materials Science (all),MATE
201801866,3,1,1,37,2018-03-01,3104,9,Condensed Matter Physics,PHYS
201801866,3,1,1,37,2018-03-01,2211,9,Mechanics of Materials,ENGI
201801866,3,1,1,37,2018-03-01,2210,9,Mechanical Engineering,ENGI
201801867,6,1,7,74,2018-03-01,2735,189,"Pediatrics, Perinatology and Child Health",MEDI
201801867,6,1,7,74,2018-03-01,2741,189,"Radiology, Nuclear Medicine and Imaging",MEDI
201801868,4,2,1,41,2018-03-01,1103,9,Animal Science and Zoology,AGRI
201801869,6,1,1,34,2018-03-01,1600,29,Chemistry (all),CHEM
201801869,6,1,1,34,2018-03-01,1500,29,Chemical Engineering (all),CENG
201801869,6,1,1,34,2018-03-01,2209,29,Industrial and Manufacturing Engineering,ENGI
201801870,1,1,0,41,2018-03-01,2002,17,Economics and Econometrics,ECON
201801871,5,1,2,116,2018-03-01,2404,124,Microbiology,IMMU
201801872,4,1,0,56,2018-03-01,1600,9,Chemistry (all),CHEM
201801872,4,1,0,56,2018-03-01,1500,9,Chemical Engineering (all),CENG
201801872,4,1,0,56,2018-03-01,2209,9,Industrial and Manufacturing Engineering,ENGI
201801873,2,1,1,51,2018-03-01,1909,16,Geotechnical Engineering and Engineering Geology,EART
201801873,2,1,1,51,2018-03-01,3311,16,Safety Research,SOCI
201801873,2,1,1,51,2018-03-01,1907,16,Geology,EART
201801874,3,2,0,0,2018-03-01,2746,1,Surgery,MEDI
201801875,2,2,0,9,2018-03-01,2602,0,Algebra and Number Theory,MATH
201801875,2,2,0,9,2018-03-01,2604,0,Applied Mathematics,MATH
201801876,3,1,1,56,2018-03-01,1909,15,Geotechnical Engineering and Engineering Geology,EART
201801876,3,1,1,56,2018-03-01,3311,15,Safety Research,SOCI
201801876,3,1,1,56,2018-03-01,1907,15,Geology,EART
201801877,5,2,0,37,2018-03-01,2735,19,"Pediatrics, Perinatology and Child Health",MEDI
201801878,2,1,0,28,2018-03-01,1909,106,Geotechnical Engineering and Engineering Geology,EART
201801878,2,1,0,28,2018-03-01,1706,106,Computer Science Applications,COMP
201801879,3,1,1,24,2018-03-01,1602,33,Analytical Chemistry,CHEM
201801879,3,1,1,24,2018-03-01,1313,33,Molecular Medicine,BIOC
201801879,3,1,1,24,2018-03-01,3004,33,Pharmacology,PHAR
201801879,3,1,1,24,2018-03-01,3003,33,Pharmaceutical Science,PHAR
201801879,3,1,1,24,2018-03-01,3002,33,Drug Discovery,PHAR
201801879,3,1,1,24,2018-03-01,2707,33,Complementary and Alternative Medicine,MEDI
201801879,3,1,1,24,2018-03-01,1605,33,Organic Chemistry,CHEM
201801880,12,6,0,25,2018-03-01,2730,39,Oncology,MEDI
201801881,5,1,1,38,2018-03-01,1305,21,Biotechnology,BIOC
201801881,5,1,1,38,2018-03-01,1502,21,Bioengineering,CENG
201801881,5,1,1,38,2018-03-01,1303,21,Biochemistry,BIOC
201801881,5,1,1,38,2018-03-01,2402,21,Applied Microbiology and Biotechnology,IMMU
201801881,5,1,1,38,2018-03-01,1312,21,Molecular Biology,BIOC
201801882,9,4,1,30,2018-03-01,2726,42,Microbiology (medical),MEDI
201801882,9,4,1,30,2018-03-01,2725,42,Infectious Diseases,MEDI
201801883,3,1,2,15,2018-03-01,2504,5,"Electronic, Optical and Magnetic Materials",MATE
201801883,3,1,2,15,2018-03-01,2208,5,Electrical and Electronic Engineering,ENGI
201801884,8,4,3,42,2018-03-01,2405,29,Parasitology,IMMU
201801884,8,4,3,42,2018-03-01,3400,29,Veterinary (all),VETE
201801884,8,4,3,42,2018-03-01,1109,29,Insect Science,AGRI
201801884,8,4,3,42,2018-03-01,2725,29,Infectious Diseases,MEDI
201801885,5,1,2,44,2018-03-01,2734,26,Pathology and Forensic Medicine,MEDI
201801885,5,1,2,44,2018-03-01,3504,26,Oral Surgery,DENT
201801885,5,1,2,44,2018-03-01,2733,26,Otorhinolaryngology,MEDI
201801885,5,1,2,44,2018-03-01,1306,26,Cancer Research,BIOC
201801885,5,1,2,44,2018-03-01,3506,26,Periodontics,DENT
201801886,5,2,2,23,2018-03-01,2213,23,"Safety, Risk, Reliability and Quality",ENGI
201801886,5,2,2,23,2018-03-01,3311,23,Safety Research,SOCI
201801886,5,2,2,23,2018-03-01,2739,23,"Public Health, Environmental and Occupational Health",MEDI
201801886,5,2,2,23,2018-03-01,1504,23,Chemical Health and Safety,CENG
201801887,3,1,2,17,2018-03-01,1203,6,Language and Linguistics,ARTS
201801887,3,1,2,17,2018-03-01,3205,6,Experimental and Cognitive Psychology,PSYC
201801887,3,1,2,17,2018-03-01,3310,6,Linguistics and Language,SOCI
201801888,5,4,0,22,2018-03-01,2205,50,Civil and Structural Engineering,ENGI
201801888,5,4,0,22,2018-03-01,2215,50,Building and Construction,ENGI
201801888,5,4,0,22,2018-03-01,2310,50,Pollution,ENVI
201801888,5,4,0,22,2018-03-01,2210,50,Mechanical Engineering,ENGI
201801888,5,4,0,22,2018-03-01,2209,50,Industrial and Manufacturing Engineering,ENGI
201801888,5,4,0,22,2018-03-01,2208,50,Electrical and Electronic Engineering,ENGI
201801889,6,5,0,36,2018-03-01,1600,12,Chemistry (all),CHEM
201801889,6,5,0,36,2018-03-01,3104,12,Condensed Matter Physics,PHYS
201801889,6,5,0,36,2018-03-01,2507,12,Polymers and Plastics,MATE
201801889,6,5,0,36,2018-03-01,2505,12,Materials Chemistry,MATE
201801890,7,2,0,166,2018-03-01,2403,246,Immunology,IMMU
201801890,7,2,0,166,2018-03-01,1309,246,Developmental Biology,BIOC
201801891,4,3,0,18,2018-03-01,2733,32,Otorhinolaryngology,MEDI
201801891,4,3,0,18,2018-03-01,2728,32,Neurology (clinical),MEDI
201801892,3,1,0,64,2018-03-01,2305,27,Environmental Engineering,ENVI
201801892,3,1,0,64,2018-03-01,2304,27,Environmental Chemistry,ENVI
201801892,3,1,0,64,2018-03-01,2300,27,Environmental Science (all),ENVI
201801893,7,1,8,65,2018-03-01,2808,25,Neurology,NEUR
201801893,7,1,8,65,2018-03-01,2804,25,Cellular and Molecular Neuroscience,NEUR
201801894,7,3,0,71,2018-02-28,1602,18,Analytical Chemistry,CHEM
201801894,7,3,0,71,2018-02-28,1500,18,Chemical Engineering (all),CENG
201801894,7,3,0,71,2018-02-28,2200,18,Engineering (all),ENGI
201801895,4,3,0,69,2018-02-28,1605,14,Organic Chemistry,CHEM
201801895,4,3,0,69,2018-02-28,2507,14,Polymers and Plastics,MATE
201801895,4,3,0,69,2018-02-28,2505,14,Materials Chemistry,MATE
201801896,2228,1,240,50,2018-02-26,3100,64,Physics and Astronomy (all),PHYS
201801897,9,3,0,38,2018-02-26,2701,43,Medicine (miscellaneous),MEDI
201801897,9,3,0,38,2018-02-26,1313,43,Molecular Medicine,BIOC
201801897,9,3,0,38,2018-02-26,1301,43,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",BIOC
201801897,9,3,0,38,2018-02-26,1307,43,Cell Biology,BIOC
201801898,4,2,1,33,2018-02-25,1602,32,Analytical Chemistry,CHEM
201801898,4,2,1,33,2018-02-25,1303,32,Biochemistry,BIOC
201801898,4,2,1,33,2018-02-25,2304,32,Environmental Chemistry,ENVI
201801898,4,2,1,33,2018-02-25,1607,32,Spectroscopy,CHEM
201801899,6,3,0,53,2018-02-25,1500,23,Chemical Engineering (all),CENG
201801900,5,1,0,45,2018-02-24,1606,3,Physical and Theoretical Chemistry,CHEM
201801900,5,1,0,45,2018-02-24,1604,3,Inorganic Chemistry,CHEM
201801900,5,1,0,45,2018-02-24,2505,3,Materials Chemistry,MATE
201801901,3,1,0,33,2018-02-23,2900,8,Nursing (all),NURS
201801902,3,2,0,35,2018-02-23,2900,5,Nursing (all),NURS
201801903,2265,1,242,38,2018-02-22,3100,167,Physics and Astronomy (all),PHYS
201801904,6,2,1,33,2018-02-22,1503,13,Catalysis,CENG
201801904,6,2,1,33,2018-02-22,1606,13,Physical and Theoretical Chemistry,CHEM
201801905,10,3,0,34,2018-02-20,2406,43,Virology,IMMU
201801905,10,3,0,34,2018-02-20,2725,43,Infectious Diseases,MEDI
201801906,7,1,3,17,2018-02-20,3614,4,Radiological and Ultrasound Technology,HEAL
201801906,7,1,3,17,2018-02-20,2741,4,"Radiology, Nuclear Medicine and Imaging",MEDI
201801907,9,2,0,37,2018-02-20,1300,7,"Biochemistry, Genetics and Molecular Biology (all)",BIOC
201801908,4,2,0,14,2018-02-17,2746,11,Surgery,MEDI
201801908,4,2,0,14,2018-02-17,2708,11,Dermatology,MEDI
201801909,3,1,0,13,2018-02-16,2613,2,Statistics and Probability,MATH
201801910,5,3,1,51,2018-02-15,2808,15,Neurology,NEUR
201801910,5,3,1,51,2018-02-15,2728,15,Neurology (clinical),MEDI
201801911,7,1,1,82,2018-02-15,1305,22,Biotechnology,BIOC
201801911,7,1,1,82,2018-02-15,2502,22,Biomaterials,MATE
201801911,7,1,1,82,2018-02-15,1600,22,Chemistry (all),CHEM
201801911,7,1,1,82,2018-02-15,2500,22,Materials Science (all),MATE
201801912,3,1,0,59,2018-02-15,2305,40,Environmental Engineering,ENVI
201801912,3,1,0,59,2018-02-15,2304,40,Environmental Chemistry,ENVI
201801912,3,1,0,59,2018-02-15,2311,40,Waste Management and Disposal,ENVI
201801912,3,1,0,59,2018-02-15,2310,40,Pollution,ENVI
201801912,3,1,0,59,2018-02-15,2307,40,"Health, Toxicology and Mutagenesis",ENVI
201801913,6,4,0,57,2018-02-15,2504,68,"Electronic, Optical and Magnetic Materials",MATE
201801913,6,4,0,57,2018-02-15,2502,68,Biomaterials,MATE
201801913,6,4,0,57,2018-02-15,2508,68,"Surfaces, Coatings and Films",MATE
201801913,6,4,0,57,2018-02-15,1505,68,Colloid and Surface Chemistry,CENG
201801914,4,1,1,41,2018-02-15,1602,11,Analytical Chemistry,CHEM
201801914,4,1,1,41,2018-02-15,1607,11,Spectroscopy,CHEM
201801914,4,1,1,41,2018-02-15,1605,11,Organic Chemistry,CHEM
201801914,4,1,1,41,2018-02-15,1604,11,Inorganic Chemistry,CHEM
201801915,2,1,0,12,2018-02-14,1710,13,Information Systems,COMP
201801915,2,1,0,12,2018-02-14,1708,13,Hardware and Architecture,COMP
201801915,2,1,0,12,2018-02-14,1706,13,Computer Science Applications,COMP
201801915,2,1,0,12,2018-02-14,1705,13,Computer Networks and Communications,COMP
201801915,2,1,0,12,2018-02-14,1703,13,Computational Theory and Mathematics,COMP
201801915,2,1,0,12,2018-02-14,1712,13,Software,COMP
201801916,2263,1,242,67,2018-02-14,3100,90,Physics and Astronomy (all),PHYS
201801917,6,2,0,29,2018-02-14,2715,11,Gastroenterology,MEDI
201801918,3,2,1,172,2018-02-13,3004,47,Pharmacology,PHAR
201801918,3,2,1,172,2018-02-13,2728,47,Neurology (clinical),MEDI
201801918,3,2,1,172,2018-02-13,2736,47,Pharmacology (medical),MEDI
201801919,9,1,2,24,2018-02-12,3400,15,Veterinary (all),VETE
201801920,10,2,9,46,2018-02-10,3103,8,Astronomy and Astrophysics,PHYS
201801920,10,2,9,46,2018-02-10,1912,8,Space and Planetary Science,EART
201801921,2234,1,238,52,2018-02-10,3106,31,Nuclear and High Energy Physics,PHYS
201801922,5,3,0,28,2018-02-10,1305,15,Biotechnology,BIOC
201801922,5,3,0,28,2018-02-10,1502,15,Bioengineering,CENG
201801922,5,3,0,28,2018-02-10,2402,15,Applied Microbiology and Biotechnology,IMMU
201801923,2,1,0,10,2018-02-09,1401,6,"Business, Management and Accounting (miscellaneous)",BUSI
201801923,2,1,0,10,2018-02-09,2209,6,Industrial and Manufacturing Engineering,ENGI
201801923,2,1,0,10,2018-02-09,2213,6,"Safety, Risk, Reliability and Quality",ENGI
201801924,2,1,0,16,2018-02-09,1401,0,"Business, Management and Accounting (miscellaneous)",BUSI
201801924,2,1,0,16,2018-02-09,2209,0,Industrial and Manufacturing Engineering,ENGI
201801924,2,1,0,16,2018-02-09,2213,0,"Safety, Risk, Reliability and Quality",ENGI
201801925,3,2,0,35,2018-02-09,1500,14,Chemical Engineering (all),CENG
201801925,3,2,0,35,2018-02-09,2500,14,Materials Science (all),MATE
201801926,4,1,2,28,2018-02-09,1602,10,Analytical Chemistry,CHEM
201801926,4,1,2,28,2018-02-09,1303,10,Biochemistry,BIOC
201801926,4,1,2,28,2018-02-09,1605,10,Organic Chemistry,CHEM
201801927,2,1,0,9,2018-02-07,1711,3,Signal Processing,COMP
201801927,2,1,0,9,2018-02-07,1802,3,Information Systems and Management,DECI
201801927,2,1,0,9,2018-02-07,2208,3,Electrical and Electronic Engineering,ENGI
201801927,2,1,0,9,2018-02-07,1706,3,Computer Science Applications,COMP
201801927,2,1,0,9,2018-02-07,1707,3,Computer Vision and Pattern Recognition,COMP
201801927,2,1,0,9,2018-02-07,1710,3,Information Systems,COMP
201801928,4,3,0,7,2018-02-07,2500,6,Materials Science (all),MATE
201801928,4,3,0,7,2018-02-07,2200,6,Engineering (all),ENGI
201801929,5,2,1,80,2018-02-07,1600,53,Chemistry (all),CHEM
201801929,5,2,1,80,2018-02-07,1500,53,Chemical Engineering (all),CENG
201801929,5,2,1,80,2018-02-07,2209,53,Industrial and Manufacturing Engineering,ENGI
201801930,5,2,3,15,2018-02-07,2613,4,Statistics and Probability,MATH
201801930,5,2,3,15,2018-02-07,2611,4,Modeling and Simulation,MATH
201801931,3,1,0,15,2018-02-05,1702,2,Artificial Intelligence,COMP
201801931,3,1,0,15,2018-02-05,1709,2,Human-Computer Interaction,COMP
201801931,3,1,0,15,2018-02-05,1710,2,Information Systems,COMP
201801931,3,1,0,15,2018-02-05,1711,2,Signal Processing,COMP
201801932,2,1,1,57,2018-02-05,3200,9,Psychology (all),PSYC
201801933,5,1,1,22,2018-02-03,1602,20,Analytical Chemistry,CHEM
201801933,5,1,1,22,2018-02-03,1303,20,Biochemistry,BIOC
201801933,5,1,1,22,2018-02-03,3107,20,"Atomic and Molecular Physics, and Optics",PHYS
201801933,5,1,1,22,2018-02-03,3105,20,Instrumentation,PHYS
201801933,5,1,1,22,2018-02-03,2208,20,Electrical and Electronic Engineering,ENGI
201801934,7,3,0,32,2018-02-03,1104,3,Aquatic Science,AGRI
201801935,6,1,5,199,2018-02-02,3004,45,Pharmacology,PHAR
201801935,6,1,5,199,2018-02-02,2803,45,Biological Psychiatry,NEUR
201801936,9,1,7,104,2018-02-02,3004,75,Pharmacology,PHAR
201801936,9,1,7,104,2018-02-02,2803,75,Biological Psychiatry,NEUR
201801937,4,1,0,0,2018-02-01,1103,0,Animal Science and Zoology,AGRI
201801937,4,1,0,0,2018-02-01,3400,0,Veterinary (all),VETE
201801938,7,2,0,69,2018-02-01,1300,4,"Biochemistry, Genetics and Molecular Biology (all)",BIOC
201801939,6,2,0,20,2018-02-01,1300,10,"Biochemistry, Genetics and Molecular Biology (all)",BIOC
201801940,5,1,0,22,2018-02-01,2740,23,Pulmonary and Respiratory Medicine,MEDI
201801940,5,1,0,22,2018-02-01,2706,23,Critical Care and Intensive Care Medicine,MEDI
201801941,7,3,0,10,2018-02-01,2746,3,Surgery,MEDI
