source,target,weight,source_lat,source_lon,target_lat,target_lon
Chulalongkorn University,Rajamangala University of Technology Tawan-ok,1,13.7367,100.5334,13.1631,100.9264
Chulalongkorn University,Ramkhamhaeng University,2,13.7367,100.5334,13.75,100.606
Chulalongkorn University,Burapha University,1,13.7367,100.5334,23.2857,10.9264
