,affiliation,latitude,longitude
101,"Istituto Nazionale di Fisica Nucleare, Sezione di Napoli",42.6384261,12.674297
102,"Istituto Nazionale di Fisica Nucleare, Sezione di Padova",42.6384261,12.674297
103,Shoolini University,30.8644984,77.1181494
104,National Institute of Science Education and Research,22.963633350000002,88.52587588236418
105,"Islamic Azad University, Science and Research Branch",32.6475314,54.5643516
106,Necmettin Erbakan Üniversitesi,37.8762248,32.43136745398073
107,Sinop Üniversitesi,42.009669200000005,35.07240830471265
108,Pîrî Reis Üniversitesi,40.8163551,29.2902233
109,İstanbul Aydın Üniversitesi,40.99162565,28.796797079027094
110,Bingöl Üniversitesi,38.9008748,40.48549833454754
111,Institute for Scintillation Materials of NAS of Ukraine,49.4871968,31.2718321
112,Indian Institute of Technology Bhubaneswar,20.14793795,85.67639482574185
113,Indian Institute of Science Education and Research Pune,18.5456168,73.8072049744151
114,Université de Strasbourg,48.5827554,7.7644219
115,Adiyaman Üniversitesi,37.74720375,38.2278524133535
116,Erzincan Binali Yıldırım Üniversitesi,39.8055155,39.37635032546092
117,"Faculty of Electrical Engineering, Mechanical Engineering and Naval Architecture, University of Split",45.3658443,15.6575209
118,Texas A&amp;M University at Qatar,25.3336984,51.2295295
119,Universidad San Francisco de Quito,-0.19686125,-78.4359155526216
120,Georgian Technical University,41.7164202,44.777298428352424
121,Recinto Universitario de Mayagüez,18.2138235,-67.14256802417052
122,University of Cyprus,35.14340315,33.41405137768187
123,University of Ruhuna,5.938163599999999,80.57685095877497
124,Riga Technical University,56.9526418,24.080679736637634
125,Yerevan Physics Institute,40.20397165,44.482209823108846
126,"National Institute of Chemical Physics and Biophysics, Tallinn",58.7523778,25.3319078
127,University of Belgrade,44.8179654,20.450776496755196
128,Institut fiziki vysokikh energii,64.6863136,97.7453061
129,Quaid-i-Azam University,30.3308401,71.247499
130,Institute for Nuclear Problems of Belarusian State University,53.4250605,27.6971358
131,Vilniaus Universitetas,54.682847,25.28784063939981
132,"Universidad de Los Andes, Colombia",4.6014026,-74.06490497198021
133,Bhabha Atomic Research Centre,19.02063055,72.92757177751588
134,Universiteit Gent,51.00784845,3.710883068491984
135,Çukurova Üniversitesi,37.0500064,35.3594026014036
136,Sapienza Università di Roma,41.9034614,12.514804525608678
137,"University at Buffalo, The State University of New York",39.7837304,-100.445882
138,California Institute of Technology,34.13701375,-118.12528833668254
139,Universidad Autónoma de San Luis Potosí,22.1443382,-101.01557318276079
140,Deutsches Elektronen-Synchrotron (DESY),53.576778,9.881953077285424
141,"University of California, San Diego",32.87924375,-117.23112468377349
142,Helsinki Institute of Physics,63.2467777,25.9209164
143,Universidade Estadual de Campinas,-22.82265605,-47.06279590310605
144,Saha Institute of Nuclear Physics,22.6010399,88.41890248864482
145,"University of California, Riverside",33.9642567,-117.3397858271953
146,University of Minnesota Twin Cities,44.9863392,-93.17945580218503
147,"Karlsruher Institut für Technologie, Campus Süd",51.1638175,10.4478313
148,University of Delhi,28.5846757,77.16358980822572
149,"University of California, Santa Barbara",34.414602450000004,-119.84581004701371
150,Università di Pisa,43.7221587,10.5227771
151,Northeastern University,42.33895455,-71.08805803336392
152,Alma Mater Studiorum Università di Bologna,44.498288599999995,11.354457015059028
153,Isfahan University of Technology,32.718684350000004,51.53414653047649
154,Consejo Nacional de Ciencia y Tecnologia Mexico,19.4326296,-99.1331785
155,Marmara Üniversitesi,40.9872142,29.052948944965976
156,Carnegie Mellon University,40.444189699999995,-79.94271918393466
157,Universite de Haute Alsace,47.7305753,7.310949185523456
158,University of Seoul,37.58302005,127.05917537929685
159,Institute of High Energy Physics Chinese Academy of Science,35.0000663,104.999955
160,University of Illinois at Chicago,41.868922299999994,-87.64858476010119
161,"University of California, Los Angeles",34.070877749999994,-118.44685031405575
162,Fayoum University,29.3212445,30.835571062007602
163,Politecnico di Bari,41.108909249999996,16.87857827781474
164,University of Rochester,43.129864,-77.62878399245412
165,Rockefeller University,40.76243945,-73.95575647630713
166,Vrije Universiteit Brussel,50.8240378,4.3987584
167,Universidad Autónoma de Madrid,40.5453765,-3.6949577655963672
168,University of Nebraska–Lincoln,40.8305567,-96.6697373
169,Lawrence Livermore National Laboratory,37.687781,-121.70830933864595
170,IN2P3 - Institut National de Physique Nucléaire et de Physique Des Particules,46.603354,1.8883335
171,ETH Zürich,47.413218,8.5374914
172,Indian Institute of Technology Madras,12.99415605,80.2366825512945
173,The University of Alabama,33.2166374,-87.5526506
174,University of Southampton,1.42991655,103.61217722346026
175,Institut fur Hochenergiephysik,48.18745965,16.362539037407977
176,Università degli Studi di Genova,44.4148861,8.9266707
177,Hanyang University,37.5557232,127.0436441
178,Benemerita Universidad Autonoma de Puebla,18.9998493,-98.19915105408572
179,National Central University,24.96841805,121.19139696100461
180,University of Iowa,41.631102350000006,-91.54075201642047
181,Tomsk Polytechnic University,56.4562565,84.94841786852749
182,Budker Institute of Nuclear Physics of the Siberian Branch of the RAS,64.6863136,97.7453061
183,Université Claude Bernard Lyon 1,45.78166445,4.868154514412188
184,The British University in Egypt,30.11897325,31.610099991355767
185,Università degli studi di Bari Aldo Moro,41.10948815,16.88168781593699
186,Laboratório de Instrumentacao e Física Experimental de Partículas,38.7399201,-9.1433675
187,Massachusetts Institute of Technology,42.3582529,-71.0966272383055
188,İstanbul Teknik Üniversitesi,41.10504645,29.02631139200003
189,Agensi Nuklear Malaysia,2.9004935,101.7601716546215
190,Università degli Studi di Firenze,43.7735739,11.283320827148149
191,Istituto Nazionale di Fisica Nucleare - INFN,42.4527916,13.576262872155837
192,University of Notre Dame,41.704567749999995,-86.23822026017265
193,Texas Tech University,33.59375255,-101.89959552302756
194,Università degli Studi della Basilicata,40.646125749999996,15.808578573475373
195,Brunel University London,51.5326092,-0.47404989072672915
196,University of Canterbury,-43.5240894,172.58030038078448
197,Texas A&amp;M University,39.7837304,-100.445882
198,The Catholic University of America,38.939102399999996,-76.99996417338346
199,Brandenburgische Technische Universität Cottbus,51.76705785,14.325072294150132
200,"University of Maryland, College Park",38.990412449999994,-76.9438585924238
201,Paul Scherrer Institut,47.53589545,8.222217993486552
202,Sofia University St. Kliment Ohridski,42.6935092,23.335316870417927
203,Monash University,-37.783974549999996,144.95867432609305
204,Visva-Bharati University,23.6794559,87.689454
205,Panjab University,30.760462150000002,76.76632840129732
206,Università degli Studi di Trieste,45.6601694,13.794792540211322
207,Technische Universität Wien,48.1989256,16.3698784
208,Iranian Research Institute for Fundamental Sciences,32.6475314,54.5643516
209,Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional,19.4326296,-99.1331785
210,Università degli Studi di Napoli Federico II,42.6384261,12.674297
211,Peter the Great St. Petersburg Polytechnic University,60.0059539,30.37664863756325
212,International Islamic University Malaysia,3.25308125,101.73568422975772
213,Ain Shams University,30.075465649999998,31.290411367195198
214,Charles University,60.4518905,22.2791628
215,Tokat Gaziosmanpaşa Üniversitesi,40.328103850000005,36.480602066565424
216,"INFN, Laboratori Nazionali Di Frascati",42.6384261,12.674297
217,Università di Trento,46.0658461,11.1194973
218,"The University of Tennessee, Knoxville",35.9516352,-83.93088187962596
219,University of Kansas,38.95350515,-95.26309220025998
220,Florida International University,25.7553898,-80.3762832779774
221,Università degli Studi di Pavia,45.186926549999995,9.156876823159685
222,Universidad de Cantabria,43.47149725,-3.8018803074352396
223,Imperial College London,51.4989595,-0.17564069276310426
224,Petersburg Nuclear Physics Institute (PNPI),64.6863136,97.7453061
225,Peking University,40.17336535,116.15722001868669
226,"University of California, Davis",38.533790350000004,-121.79075439946112
227,LUT University,61.0652026,28.0950747
228,Kafkas Üniversitesi,40.58094665,43.05656720268237
229,Indian Institute of Science,13.022234699999998,77.56718324768107
230,Fermi National Accelerator Laboratory,41.8422582,-88.24578204859304
231,Beihang University,39.9809427,116.34097867654876
232,University of Warsaw,52.209142549999996,21.00948486904928
233,Seoul National University,37.4670085,126.949073
234,Institute for Nuclear Research and Nuclear Energy Bulgarian Academy of Sciences,42.6073975,25.4856617
235,Universiteit Antwerpen,51.22431915,4.411447081437695
236,Università degli Studi di Torino,45.07338235,7.699437189967615
237,T.C. Beykent Üniversitesi,38.9597594,34.9249653
238,Universidad Iberoamericana,25.44523685,-101.0045303
239,Brown University,41.8186395,-71.4088008716793
240,Baylor University,31.55043405,-97.1102905567766
241,Instituto Astrofisico de Canarias,28.481415,-16.3195125
242,University of Mississippi,34.3646125,-89.53963491020966
243,Florida Institute of Technology,28.064270999999998,-80.6230040282868
244,Cairo University,30.02681195,31.205918565430267
245,Università degli Studi di Catania,37.52951565,15.067221602363126
246,Istanbul Bilgi Üniversitesi,41.067126,28.94725
247,Wayne State University,42.35720515,-83.07094978691399
248,Izmir Yüksek Teknoloji Enstitüsü,38.3226588,26.637729502462555
249,National Science Center Kharkov Institute of Physics and Technology,49.4871968,31.2718321
250,Mersin Üniversitesi,36.953089750000004,34.84895709563115
251,Centro Brasileiro de Pesquisas Físicas,-22.95406685,-43.174002264565644
252,Cornell University,42.4529076,-76.48008423030923
253,Sungkyunkwan University,37.3003187,126.9697911
254,Northwestern University,42.0557157,-87.67529454739416
255,Chonnam National University,35.1769099,126.9068927159905
256,Universidad de Oviedo,43.35352695,-5.875012963515381
257,Universidade Federal do Rio Grande do Sul,-30.03331505,-51.21994396572513
258,Utah Valley University,40.27941055,-111.71788683218048
259,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",-23.5240477,-46.66720261373774
260,Boğaziçi Üniversitesi,41.0851583,29.0456561
261,Universidade do Estado do Rio de Janeiro,-22.2868125,-42.542037991569394
262,National Taiwan University,25.016817500000002,121.53845709079619
263,Rice University,29.716791450000002,-95.40478113393792
264,Korea University,36.6108905,127.2934246
265,Johns Hopkins University,39.33020225,-76.62185357858337
266,"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas",39.3260685,-4.8379791
267,University College Dublin,53.3068763,-6.224625093340977
268,University of Ioannina,39.615659050000005,20.841264682307745
269,King Abdulaziz University,21.49341465,39.24854487966037
270,Middle East Technical University (METU),39.875496749999996,32.78553505584672
271,Vanderbilt University,36.14380105,-86.80281889095295
272,Mimar Sinan Güzel Sanatlar Üniversitesi,41.0300797,28.989120547845882
273,Politechnika Warszawska,52.2216394,21.00737979000361
274,"Università degli Studi del Piemonte Orientale ""Amedeo Avogadro""",42.6384261,12.674297
275,Wigner Research Centre for Physics,47.1817585,19.5060937
276,The Ohio State University,40.00568015,-83.02866123579578
